"","video_id","site","management","trophic_group","useful_time","useful_time_hrs","richness","richness_std","abundance","abundance_std","biomass","biomass_std","interaction_strength","detections","feeding_pressure","bites_kg"
"1","0058","Chañaral de Aceituno","MPA","Carnivore",58.5666666666667,0.976111111111111,5,2.56118383608423,9,4.61013090495162,2.93533851509811,1.50358831166095,0.512236767216847,1,2.00008870784764,3.9046176218759
"2","0058","Chañaral de Aceituno","MPA","Herbivore",58.5666666666667,0.976111111111111,2,1.02447353443369,3,1.53671030165054,0.804056270130128,0.411867184471893,0,0,5.88845703060423,11.4955766697463
"3","0058","Chañaral de Aceituno","MPA","Planktivore",58.5666666666667,0.976111111111111,0,0,0,0,0,0,0,0,0,0
"4","0058","Chañaral de Aceituno","MPA","Omnivore",58.5666666666667,0.976111111111111,0,0,0,0,0,0,0,0,0,0
"5","0059","Chañaral de Aceituno","MPA","Carnivore",26.75,0.445833333333333,3,3.36448598130841,7,7.85046728971963,1.87969036704672,2.10806396304305,1.1214953271028,1,0,0
"6","0059","Chañaral de Aceituno","MPA","Herbivore",26.75,0.445833333333333,0,0,0,0,0,0,0,0,0,0
"7","0059","Chañaral de Aceituno","MPA","Planktivore",26.75,0.445833333333333,1,1.1214953271028,12,13.4579439252336,0.466558127165193,0.523242759437599,34.7663551401869,31,0,0
"8","0059","Chañaral de Aceituno","MPA","Omnivore",26.75,0.445833333333333,0,0,0,0,0,0,0,0,0,0
"9","0066","Chañaral de Aceituno","TURF","Carnivore",28.8666666666667,0.481111111111111,3,3.11778290993072,5,5.19630484988453,0.827774902407128,0.86027414799817,0,0,4.88703808618509,4.70241664737365
"10","0066","Chañaral de Aceituno","TURF","Herbivore",28.8666666666667,0.481111111111111,2,2.07852193995381,2,2.07852193995381,0.219068274006314,0.227669106934969,0,0,0,0
"11","0066","Chañaral de Aceituno","TURF","Planktivore",28.8666666666667,0.481111111111111,1,1.03926096997691,1,1.03926096997691,0.00750226930607353,0.00779681567605794,0,0,0,0
"12","0066","Chañaral de Aceituno","TURF","Omnivore",28.8666666666667,0.481111111111111,0,0,0,0,0,0,0,0,0,0
"13","0067","Chañaral de Aceituno","TURF","Carnivore",32.5833333333333,0.543055555555556,2,1.84143222506394,3,2.76214833759591,0.623855510672654,0.574393820568172,0,0,1.44445700458981,1.56884080220727
"14","0067","Chañaral de Aceituno","TURF","Herbivore",32.5833333333333,0.543055555555556,1,0.920716112531969,1,0.920716112531969,0.0103413669264,0.00952146315474173,0,0,0.560527416257807,0.608795054880007
"15","0067","Chañaral de Aceituno","TURF","Planktivore",32.5833333333333,0.543055555555556,0,0,0,0,0,0,0,0,0,0
"16","0067","Chañaral de Aceituno","TURF","Omnivore",32.5833333333333,0.543055555555556,0,0,0,0,0,0,0,0,0,0
"17","0091","Las Cruces","MPA","Carnivore",24.7166666666667,0.411944444444444,2,2.42751180040459,12,14.5650708024275,6.37286212762386,7.7350990085792,6.06877950101146,5,0.430841152416884,0.354965238352355
"18","0091","Las Cruces","MPA","Herbivore",24.7166666666667,0.411944444444444,2,2.42751180040459,4,4.85502360080917,0.420030381796089,0.509814354169225,4.85502360080917,4,0.208405623240393,0.171703077369723
